Player ID,Arrival Date,Exit Location,Descision date 0,Descision date 1,Descision date 2,Server Used for Station  0,Server Used for Station  1,Service Start Time for Station 0,Service Start Time for Station 1,Service Time for Station  0,Service Time for Station  1,Service End Time for Station 0,Service End Time for Station 1,Skip Decision for Station 0,Skip Decision for Station 1,Wait for Station 0,Wait for Station 1,Cost for Station 0,Cost for Station 1,Station 0 Expected Cost,Station 1 Expected Cost,Decision at 0,Decision at 1
0,31.757846511137785,0,31.757846511137785,DNF,DNF,0,DNF,31.757846511137785,DNF,1.3910467998412646,DNF,33.14889331097905,DNF,False,DNF,0.0,DNF,1.3910467998412646,DNF,0,DNF,Correct,DNF
1,40.271174638698305,0,40.271174638698305,DNF,DNF,1,DNF,40.271174638698305,DNF,0.23221505299135636,DNF,40.50338969168966,DNF,False,DNF,0.0,DNF,0.23221505299135636,DNF,1.0,DNF,Correct,DNF
2,68.13498720360535,0,68.13498720360535,DNF,DNF,0,DNF,68.13498720360535,DNF,0.2935264334890221,DNF,68.42851363709437,DNF,False,DNF,0.0,DNF,0.2935264334890221,DNF,1.0,DNF,Correct,DNF
3,77.88044277001343,0,77.88044277001343,DNF,DNF,1,DNF,77.88044277001343,DNF,0.4683674590070167,DNF,78.34881022902044,DNF,False,DNF,0.0,DNF,0.4683674590070167,DNF,1.0,DNF,Correct,DNF
4,143.01234702125882,0,143.01234702125882,DNF,DNF,0,DNF,143.01234702125882,DNF,0.8009485527614897,DNF,143.81329557402032,DNF,False,DNF,0.0,DNF,0.8009485527614897,DNF,1.0,DNF,Correct,DNF
5,164.3185236638572,0,164.3185236638572,DNF,DNF,1,DNF,164.3185236638572,DNF,0.7187397935829358,DNF,165.03726345744013,DNF,False,DNF,0.0,DNF,0.7187397935829358,DNF,1.0,DNF,Correct,DNF
6,166.0384390230556,0,166.0384390230556,DNF,DNF,0,DNF,166.0384390230556,DNF,0.751480180650361,DNF,166.78991920370595,DNF,False,DNF,0.0,DNF,0.751480180650361,DNF,1.0,DNF,Correct,DNF
7,179.84007179813688,1,179.84007179813688,180.4214476671279,DNF,1,0,179.84007179813688,180.4214476671279,0.5813758689910217,0.10215662526984413,180.4214476671279,180.52360429239775,False,False,0.0,0.0,0.5813758689910217,0.10215662526984413,1.0,0,Correct,Correct
8,196.8389930353959,0,196.8389930353959,DNF,DNF,0,DNF,196.8389930353959,DNF,0.9244641223870127,DNF,197.7634571577829,DNF,False,DNF,0.0,DNF,0.9244641223870127,DNF,1.0,DNF,Correct,DNF
9,225.29994058330902,0,225.29994058330902,DNF,DNF,1,DNF,225.29994058330902,DNF,1.4071252171369955,DNF,226.70706580044603,DNF,False,DNF,0.0,DNF,1.4071252171369955,DNF,1.0,DNF,Correct,DNF
10,232.66261154476413,0,232.66261154476413,DNF,DNF,0,DNF,232.66261154476413,DNF,0.4258679069983983,DNF,233.08847945176254,DNF,False,DNF,0.0,DNF,0.4258679069983983,DNF,1.0,DNF,Correct,DNF
11,234.0736409859085,0,234.0736409859085,DNF,DNF,1,DNF,234.0736409859085,DNF,1.3880744827141314,DNF,235.46171546862263,DNF,False,DNF,0.0,DNF,1.3880744827141314,DNF,1.0,DNF,Correct,DNF
12,279.5673886517493,1,279.5673886517493,281.33105973723275,DNF,0,1,279.5673886517493,281.33105973723275,1.7636710854834274,0.5843990851411557,281.33105973723275,281.9154588223739,False,False,0.0,0.0,1.7636710854834274,0.5843990851411557,1.0,1.0,Correct,Correct
