Player ID,Arrival Date,Exit Location,Descision date 0,Descision date 1,Descision date 2,Server Used for Station  0,Server Used for Station  1,Service Start Time for Station 0,Service Start Time for Station 1,Service Time for Station  0,Service Time for Station  1,Service End Time for Station 0,Service End Time for Station 1,Skip Decision for Station 0,Skip Decision for Station 1,Wait for Station 0,Wait for Station 1,Cost for Station 0,Cost for Station 1,Station 0 Expected Cost,Station 1 Expected Cost,Decision at 0,Decision at 1
0,2.481398348587022,0,2.481398348587022,DNF,DNF,0,DNF,2.481398348587022,DNF,0.334754696247267,DNF,2.816153044834289,DNF,False,DNF,0.0,DNF,0.334754696247267,DNF,0,DNF,Correct,DNF
1,12.45107509390694,0,12.45107509390694,DNF,DNF,1,DNF,12.45107509390694,DNF,1.09422885987739,DNF,13.54530395378433,DNF,False,DNF,0.0,DNF,1.09422885987739,DNF,1.0,DNF,Correct,DNF
2,14.493768055999222,0,14.493768055999222,DNF,DNF,0,DNF,14.493768055999222,DNF,1.3063503870550768,DNF,15.800118443054298,DNF,False,DNF,0.0,DNF,1.3063503870550768,DNF,1.0,DNF,Correct,DNF
3,19.51909490066885,0,19.51909490066885,DNF,DNF,1,DNF,19.51909490066885,DNF,3.2805948132635288,DNF,22.79968971393238,DNF,False,DNF,0.0,DNF,3.2805948132635288,DNF,1.0,DNF,Correct,DNF
4,23.613748020207147,0,23.613748020207147,DNF,DNF,0,DNF,23.613748020207147,DNF,0.8444590119344693,DNF,24.458207032141615,DNF,False,DNF,0.0,DNF,0.8444590119344693,DNF,1.0,DNF,Correct,DNF
5,24.40730315532555,0,24.40730315532555,DNF,DNF,1,DNF,24.40730315532555,DNF,0.9586898436362433,DNF,25.365992998961794,DNF,False,DNF,0.0,DNF,0.9586898436362433,DNF,1.0,DNF,Correct,DNF
6,26.65580441350857,0,26.65580441350857,DNF,DNF,0,DNF,26.65580441350857,DNF,0.5680845974535046,DNF,27.223889010962075,DNF,False,DNF,0.0,DNF,0.5680845974535046,DNF,1.0,DNF,Correct,DNF
7,35.133900216328826,0,35.133900216328826,DNF,DNF,1,DNF,35.133900216328826,DNF,0.8785833798912188,DNF,36.012483596220044,DNF,False,DNF,0.0,DNF,0.8785833798912188,DNF,1.0,DNF,Correct,DNF
8,37.00766991433006,0,37.00766991433006,DNF,DNF,0,DNF,37.00766991433006,DNF,0.019340608679123183,DNF,37.02701052300918,DNF,False,DNF,0.0,DNF,0.019340608679123183,DNF,1.0,DNF,Correct,DNF
9,37.790057933815525,0,37.790057933815525,DNF,DNF,1,DNF,37.790057933815525,DNF,0.348434863648907,DNF,38.13849279746443,DNF,False,DNF,0.0,DNF,0.348434863648907,DNF,1.0,DNF,Correct,DNF
10,39.025146889512214,0,39.025146889512214,DNF,DNF,0,DNF,39.025146889512214,DNF,0.03687046067078318,DNF,39.062017350183,DNF,False,DNF,0.0,DNF,0.03687046067078318,DNF,1.0,DNF,Correct,DNF
11,47.11682919016036,0,47.11682919016036,DNF,DNF,1,DNF,47.11682919016036,DNF,0.05354706877120854,DNF,47.17037625893157,DNF,False,DNF,0.0,DNF,0.05354706877120854,DNF,1.0,DNF,Correct,DNF
12,51.345969520731856,0,51.345969520731856,DNF,DNF,0,DNF,51.345969520731856,DNF,0.1672460791171789,DNF,51.51321559984903,DNF,False,DNF,0.0,DNF,0.1672460791171789,DNF,1.0,DNF,Correct,DNF
13,57.60214080985316,0,57.60214080985316,DNF,DNF,1,DNF,57.60214080985316,DNF,0.4978266316240974,DNF,58.09996744147726,DNF,False,DNF,0.0,DNF,0.4978266316240974,DNF,1.0,DNF,Correct,DNF
14,58.11303137180513,0,58.11303137180513,DNF,DNF,0,DNF,58.11303137180513,DNF,0.18190970877213405,DNF,58.29494108057726,DNF,False,DNF,0.0,DNF,0.18190970877213405,DNF,1.0,DNF,Correct,DNF
15,58.31854757906317,0,58.31854757906317,DNF,DNF,1,DNF,58.31854757906317,DNF,0.14850005438969047,DNF,58.467047633452864,DNF,False,DNF,0.0,DNF,0.14850005438969047,DNF,1.0,DNF,Correct,DNF
