Player ID,Arrival Date,Exit Location,Descision date 0,Descision date 1,Descision date 2,Server Used for Station  0,Server Used for Station  1,Service Start Time for Station 0,Service Start Time for Station 1,Service Time for Station  0,Service Time for Station  1,Service End Time for Station 0,Service End Time for Station 1,Skip Decision for Station 0,Skip Decision for Station 1,Wait for Station 0,Wait for Station 1,Cost for Station 0,Cost for Station 1,Station 0 Expected Cost,Station 1 Expected Cost,Decision at 0,Decision at 1
0,0.38416985259941894,1,0.38416985259941894,1.8092663405464333,DNF,0,0,0.38416985259941894,1.8092663405464333,1.4250964879470145,2.745690274124004,1.8092663405464333,4.554956614670438,False,False,0.0,0.0,1.4250964879470145,2.745690274124004,0,0,Correct,Incorrect
1,0.6885682909553751,0,0.6885682909553751,DNF,DNF,1,DNF,0.6885682909553751,DNF,0.630898132765815,DNF,1.31946642372119,DNF,False,DNF,0.0,DNF,0.630898132765815,DNF,1.0,DNF,Correct,DNF
2,5.786739071699158,0,5.786739071699158,DNF,DNF,1,DNF,5.786739071699158,DNF,0.09047541668997698,DNF,5.877214488389135,DNF,False,DNF,0.0,DNF,0.09047541668997698,DNF,1.0,DNF,Correct,DNF
3,8.348034024964427,1,8.348034024964427,11.534776751190716,DNF,0,0,8.348034024964427,11.534776751190716,3.1867427262262886,1.0539880078360797,11.534776751190716,12.588764759026795,False,False,0.0,0.0,3.1867427262262886,1.0539880078360797,1.0,1.0,Correct,Incorrect
4,8.686714419654654,1,8.686714419654654,9.331408104104387,DNF,1,1,8.686714419654654,9.331408104104387,0.6446936844497321,1.3197215583575492,9.331408104104387,10.651129662461937,False,False,0.0,0.0,0.6446936844497321,1.3197215583575492,1.0,1.0,Correct,Incorrect
5,8.85739796143824,1,8.85739796143824,9.584944710708541,DNF,1,0,9.331408104104387,9.584944710708541,0.25353660660415345,0.9058521280008343,9.584944710708541,10.490796838709375,False,False,0.47401014266614716,0.0,0.7275467492703006,0.9058521280008343,1.0,1.0,Correct,Correct
6,14.176461367872282,1,14.176461367872282,14.426164564806136,DNF,1,1,14.176461367872282,14.426164564806136,0.24970319693385515,0.7551726689452737,14.426164564806136,15.18133723375141,False,False,0.0,0.0,0.24970319693385515,0.7551726689452737,1.5,1.0,Correct,Correct
7,14.309243693975024,1,14.309243693975024,16.577127371013958,DNF,0,0,14.309243693975024,16.577127371013958,2.267883677038934,0.15173769956696864,16.577127371013958,16.728865070580927,False,False,0.0,0.0,2.267883677038934,0.15173769956696864,1.0,1.0,Correct,Correct
8,16.74064678154011,1,16.74064678154011,17.182906115121394,DNF,1,1,16.74064678154011,17.182906115121394,0.442259333581285,0.7472130006364788,17.182906115121394,17.930119115757872,False,False,0.0,0.0,0.442259333581285,0.7472130006364788,1.0,1.0,Correct,Correct
9,17.37277694085107,0,17.37277694085107,DNF,DNF,0,DNF,17.37277694085107,DNF,0.7869968983004456,DNF,18.159773839151516,DNF,False,DNF,0.0,DNF,0.7869968983004456,DNF,1.0,DNF,Correct,DNF
10,22.771792979419466,1,22.771792979419466,23.7265532049249,DNF,1,0,22.771792979419466,23.7265532049249,0.9547602255054364,1.5174999237321887,23.7265532049249,25.24405312865709,False,False,0.0,0.0,0.9547602255054364,1.5174999237321887,1.0,1.0,Correct,Incorrect
11,22.9303724956917,1,22.9303724956917,25.082630757053018,DNF,0,1,22.9303724956917,25.082630757053018,2.152258261361318,0.6364645402661401,25.082630757053018,25.719095297319157,False,False,0.0,0.0,2.152258261361318,0.6364645402661401,1.0,1.0,Correct,Correct
