Player ID,Arrival Date,Exit Location,Descision date 0,Descision date 1,Descision date 2,Server Used for Station  0,Server Used for Station  1,Service Start Time for Station 0,Service Start Time for Station 1,Service Time for Station  0,Service Time for Station  1,Service End Time for Station 0,Service End Time for Station 1,Skip Decision for Station 0,Skip Decision for Station 1,Wait for Station 0,Wait for Station 1,Cost for Station 0,Cost for Station 1,Station 0 Expected Cost,Station 1 Expected Cost,Decision at 0,Decision at 1
0,0.7823970043061632,1,0.7823970043061632,3.346438103879162,DNF,0,0,0.7823970043061632,3.346438103879162,2.5640410995729987,1.000869560532675,3.346438103879162,4.347307664411837,False,False,0.0,0.0,2.5640410995729987,1.000869560532675,0,0,Correct,Incorrect
1,2.3758663458671947,1,2.3758663458671947,3.403062634424435,DNF,1,1,2.3758663458671947,3.403062634424435,1.0271962885572403,1.096829831674928,3.403062634424435,4.499892466099363,False,False,0.0,0.0,1.0271962885572403,1.096829831674928,1.0,1.0,Correct,Incorrect
2,2.920808298273738,1,2.920808298273738,9.586699849457728,DNF,0,1,3.346438103879162,9.586699849457728,6.240261745578566,0.16879768010915838,9.586699849457728,9.755497529566886,False,False,0.4256298056054244,0.0,6.665891551183991,0.16879768010915838,1.0,1.0,Correct,Correct
3,3.220804337416618,1,3.220804337416618,3.5357474150334363,DNF,1,0,3.403062634424435,4.347307664411837,0.13268478060900132,0.331268103542576,3.5357474150334363,4.678575767954413,False,False,0.18225829700781704,0.8115602493784011,0.3149430776168184,1.142828352920977,1.5,1.0,Correct,Incorrect
4,3.722330686108977,1,3.722330686108977,4.725479354101237,DNF,1,1,3.722330686108977,4.725479354101237,1.0031486679922603,0.4306484797219906,4.725479354101237,5.156127833823228,False,False,0.0,0.0,1.0031486679922603,0.4306484797219906,2.0,1.5,Correct,Correct
5,3.7672849260686565,0,3.7672849260686565,DNF,DNF,1,DNF,4.725479354101237,DNF,0.3160790806304008,DNF,5.041558434731638,DNF,False,DNF,0.9581944280325807,DNF,1.2742735086629815,DNF,1.0,DNF,Correct,DNF
6,4.557563722599543,0,4.557563722599543,DNF,DNF,1,DNF,5.041558434731638,DNF,0.07622780134800407,DNF,5.117786236079642,DNF,False,DNF,0.48399471213209466,DNF,0.5602225134800988,DNF,1.5,DNF,Correct,DNF
7,6.980300012343628,1,6.980300012343628,7.433514256331912,DNF,1,0,6.980300012343628,7.433514256331912,0.45321424398828386,0.5619093173704579,7.433514256331912,7.99542357370237,False,False,0.0,0.0,0.45321424398828386,0.5619093173704579,2.0,1.0,Correct,Correct
8,7.555505513082221,1,7.555505513082221,9.83969488450624,DNF,1,1,7.555505513082221,9.83969488450624,2.284189371424019,0.03517426757269628,9.83969488450624,9.874869152078936,False,False,0.0,0.0,2.284189371424019,0.03517426757269628,1.5,1.0,Correct,Correct
9,9.34571779641937,1,9.34571779641937,9.79985681708873,DNF,0,0,9.586699849457728,9.79985681708873,0.21315696763100067,1.7334401056683173,9.79985681708873,11.533296922757046,False,False,0.2409820530383584,0.0,0.4541390206693591,1.7334401056683173,1.0,1.0,Correct,Incorrect
