Player ID,Arrival Date,Exit Location,Descision date 0,Descision date 1,Descision date 2,Server Used for Station  0,Server Used for Station  1,Service Start Time for Station 0,Service Start Time for Station 1,Service Time for Station  0,Service Time for Station  1,Service End Time for Station 0,Service End Time for Station 1,Skip Decision for Station 0,Skip Decision for Station 1,Wait for Station 0,Wait for Station 1,Cost for Station 0,Cost for Station 1,Station 0 Expected Cost,Station 1 Expected Cost,Decision at 0,Decision at 1
0,0.2924911434151295,0,0.2924911434151295,DNF,DNF,0,DNF,0.2924911434151295,DNF,1.34512361605461,DNF,1.6376147594697397,DNF,False,DNF,0.0,DNF,1.34512361605461,DNF,0,DNF,Correct,DNF
1,0.35050505778484387,0,0.35050505778484387,DNF,DNF,1,DNF,0.35050505778484387,DNF,1.5243749772429989,DNF,1.8748800350278427,DNF,False,DNF,0.0,DNF,1.5243749772429989,DNF,1.0,DNF,Correct,DNF
2,0.7633647091873387,0,0.7633647091873387,DNF,DNF,0,DNF,1.6376147594697397,DNF,0.6039438341243796,DNF,2.241558593594119,DNF,False,DNF,0.874250050282401,DNF,1.4781938844067806,DNF,1.0,DNF,Correct,DNF
3,1.2852826945574383,0,1.2852826945574383,DNF,DNF,1,DNF,1.8748800350278427,DNF,1.55768319194247,DNF,3.432563226970313,DNF,False,DNF,0.5895973404704045,DNF,2.1472805324128745,DNF,1.5,DNF,Correct,DNF
4,2.604330631725392,0,2.604330631725392,DNF,DNF,0,DNF,2.604330631725392,DNF,0.1976970466984551,DNF,2.802027678423847,DNF,False,DNF,0.0,DNF,0.1976970466984551,DNF,2.0,DNF,Correct,DNF
5,2.645732829846497,0,2.645732829846497,DNF,DNF,0,DNF,2.802027678423847,DNF,1.0293654467120705,DNF,3.831393125135918,DNF,False,DNF,0.1562948485773501,DNF,1.1856602952894206,DNF,1.5,DNF,Correct,DNF
6,2.89366646249035,0,2.89366646249035,DNF,DNF,1,DNF,3.432563226970313,DNF,0.08182614240288656,DNF,3.5143893693731996,DNF,False,DNF,0.5388967644799627,DNF,0.6207229068828493,DNF,1.5,DNF,Correct,DNF
7,3.3603364551609505,0,3.3603364551609505,DNF,DNF,1,DNF,3.5143893693731996,DNF,0.23165520433600562,DNF,3.746044573709205,DNF,False,DNF,0.1540529142122491,DNF,0.3857081185482547,DNF,1.5,DNF,Correct,DNF
8,3.641366094803423,0,3.641366094803423,DNF,DNF,1,DNF,3.746044573709205,DNF,1.0306007182417076,DNF,4.776645291950913,DNF,False,DNF,0.10467847890578197,DNF,1.1352791971474896,DNF,2.0,DNF,Correct,DNF
9,3.805633639860273,0,3.805633639860273,DNF,DNF,0,DNF,3.831393125135918,DNF,0.8374178857031603,DNF,4.668811010839078,DNF,False,DNF,0.025759485275644867,DNF,0.8631773709788052,DNF,1.5,DNF,Correct,DNF
10,3.917697659767904,0,3.917697659767904,DNF,DNF,0,DNF,4.668811010839078,DNF,0.9844251901789024,DNF,5.653236201017981,DNF,False,DNF,0.751113351071174,DNF,1.7355385412500763,DNF,1.5,DNF,Correct,DNF
11,4.987789316586625,0,4.987789316586625,DNF,DNF,1,DNF,4.987789316586625,DNF,0.5558859557804411,DNF,5.543675272367066,DNF,False,DNF,0.0,DNF,0.5558859557804411,DNF,1.5,DNF,Correct,DNF
12,5.523920059777369,0,5.523920059777369,DNF,DNF,1,DNF,5.543675272367066,DNF,1.3042844452453548,DNF,6.8479597176124205,DNF,False,DNF,0.019755212589696924,DNF,1.3240396578350517,DNF,1.5,DNF,Correct,DNF
13,5.700130154670438,0,5.700130154670438,DNF,DNF,0,DNF,5.700130154670438,DNF,1.9426473286855812,DNF,7.642777483356019,DNF,False,DNF,0.0,DNF,1.9426473286855812,DNF,1.5,DNF,Correct,DNF
14,6.083520459949964,0,6.083520459949964,DNF,DNF,1,DNF,6.8479597176124205,DNF,2.4110473472889518,DNF,9.259007064901372,DNF,False,DNF,0.7644392576624561,DNF,3.175486604951408,DNF,1.5,DNF,Correct,DNF
15,6.7819829669747795,0,6.7819829669747795,DNF,DNF,0,DNF,7.642777483356019,DNF,0.7432645078865714,DNF,8.38604199124259,DNF,False,DNF,0.8607945163812394,DNF,1.6040590242678108,DNF,1.5,DNF,Correct,DNF
16,6.7887318455778995,1,6.7887318455778995,6.7887318455778995,DNF,N/A,0,N\A,6.7887318455778995,0,0.3292873671989069,N/A,7.118019212776806,True,False,0,0.0,10,0.3292873671989069,2.5,0,Correct,Correct
17,6.795917996769797,1,6.795917996769797,6.795917996769797,DNF,N/A,1,N\A,6.795917996769797,0,2.203551198063619,N/A,8.999469194833416,True,False,0,0.0,10,2.203551198063619,2.5,1.0,Correct,Incorrect
18,7.411320260318074,0,7.411320260318074,DNF,DNF,0,DNF,8.38604199124259,DNF,0.07059351860708665,DNF,8.456635509849677,DNF,False,DNF,0.9747217309245171,DNF,1.0453152495316038,DNF,2.0,DNF,Correct,DNF
19,7.760634354954272,0,7.760634354954272,DNF,DNF,0,DNF,8.456635509849677,DNF,1.1720149245030396,DNF,9.628650434352718,DNF,False,DNF,0.6960011548954057,DNF,1.8680160793984453,DNF,2.0,DNF,Correct,DNF
