Player ID,Arrival Date,Exit Location,Descision date 0,Descision date 1,Descision date 2,Server Used for Station  0,Server Used for Station  1,Service Start Time for Station 0,Service Start Time for Station 1,Service Time for Station  0,Service Time for Station  1,Service End Time for Station 0,Service End Time for Station 1,Skip Decision for Station 0,Skip Decision for Station 1,Wait for Station 0,Wait for Station 1,Cost for Station 0,Cost for Station 1,Station 0 Expected Cost,Station 1 Expected Cost,Decision at 0,Decision at 1
0,0.10652256352759258,0,0.10652256352759258,DNF,DNF,0,DNF,0.10652256352759258,DNF,0.22459399346485273,DNF,0.3311165569924453,DNF,False,DNF,0.0,DNF,0.22459399346485273,DNF,0,DNF,Correct,DNF
1,0.7560466004942685,0,0.7560466004942685,DNF,DNF,1,DNF,0.7560466004942685,DNF,0.09180217443581758,DNF,0.8478487749300861,DNF,False,DNF,0.0,DNF,0.09180217443581758,DNF,1.0,DNF,Correct,DNF
2,1.5855234040655806,0,1.5855234040655806,DNF,DNF,0,DNF,1.5855234040655806,DNF,0.9540275721669496,DNF,2.53955097623253,DNF,False,DNF,0.0,DNF,0.9540275721669496,DNF,1.0,DNF,Correct,DNF
3,1.991827921699102,0,1.991827921699102,DNF,DNF,1,DNF,1.991827921699102,DNF,0.3280217082359099,DNF,2.3198496299350118,DNF,False,DNF,0.0,DNF,0.3280217082359099,DNF,1.0,DNF,Correct,DNF
4,2.099098309869229,0,2.099098309869229,DNF,DNF,1,DNF,2.3198496299350118,DNF,0.5797856171427976,DNF,2.8996352470778093,DNF,False,DNF,0.22075132006578269,DNF,0.8005369372085803,DNF,1.0,DNF,Correct,DNF
5,2.1503130544386764,0,2.1503130544386764,DNF,DNF,0,DNF,2.53955097623253,DNF,1.55996589913875,DNF,4.09951687537128,DNF,False,DNF,0.38923792179385375,DNF,1.9492038209326037,DNF,1.5,DNF,Correct,DNF
6,2.499559435457944,0,2.499559435457944,DNF,DNF,1,DNF,2.8996352470778093,DNF,0.35156997008585067,DNF,3.25120521716366,DNF,False,DNF,0.4000758116198653,DNF,0.7516457817057159,DNF,2.0,DNF,Correct,DNF
7,2.696280639287493,0,2.696280639287493,DNF,DNF,1,DNF,3.25120521716366,DNF,0.22819133558345872,DNF,3.4793965527471187,DNF,False,DNF,0.5549245778761671,DNF,0.7831159134596258,DNF,2.0,DNF,Correct,DNF
8,2.781886402605733,1,2.781886402605733,2.781886402605733,DNF,N/A,0,N\A,2.781886402605733,0,0.08960330478042325,N/A,2.8714897073861563,True,False,0,0.0,10,0.08960330478042325,2.5,0,Correct,Correct
9,2.915113876110197,0,2.915113876110197,DNF,DNF,1,DNF,3.4793965527471187,DNF,0.4758358560432503,DNF,3.955232408790369,DNF,False,DNF,0.5642826766369216,DNF,1.0401185326801718,DNF,2.0,DNF,Correct,DNF
10,3.390040125912176,0,3.390040125912176,DNF,DNF,1,DNF,3.955232408790369,DNF,0.49544664053238685,DNF,4.450679049322756,DNF,False,DNF,0.565192282878193,DNF,1.06063892341058,DNF,2.0,DNF,Correct,DNF
11,4.35992119442374,0,4.35992119442374,DNF,DNF,0,DNF,4.35992119442374,DNF,0.012706041697586951,DNF,4.372627236121327,DNF,False,DNF,0.0,DNF,0.012706041697586951,DNF,2.0,DNF,Correct,DNF
12,5.652643596558011,0,5.652643596558011,DNF,DNF,0,DNF,5.652643596558011,DNF,2.17703629808044,DNF,7.829679894638451,DNF,False,DNF,0.0,DNF,2.17703629808044,DNF,1.5,DNF,Correct,DNF
13,6.094937067044802,0,6.094937067044802,DNF,DNF,1,DNF,6.094937067044802,DNF,0.13787142018503007,DNF,6.232808487229833,DNF,False,DNF,0.0,DNF,0.13787142018503007,DNF,1.0,DNF,Correct,DNF
14,6.135434451361137,0,6.135434451361137,DNF,DNF,1,DNF,6.232808487229833,DNF,0.2150256566783343,DNF,6.4478341439081674,DNF,False,DNF,0.09737403586869586,DNF,0.31239969254703015,DNF,1.0,DNF,Correct,DNF
15,6.204907655687056,0,6.204907655687056,DNF,DNF,1,DNF,6.4478341439081674,DNF,0.024278537533860563,DNF,6.472112681442028,DNF,False,DNF,0.2429264882211113,DNF,0.26720502575497185,DNF,1.5,DNF,Correct,DNF
16,6.677063109177377,0,6.677063109177377,DNF,DNF,1,DNF,6.677063109177377,DNF,0.4859778438798464,DNF,7.163040953057223,DNF,False,DNF,0.0,DNF,0.4859778438798464,DNF,2.0,DNF,Correct,DNF
17,7.979788570205252,0,7.979788570205252,DNF,DNF,1,DNF,7.979788570205252,DNF,0.5217488219129248,DNF,8.501537392118177,DNF,False,DNF,0.0,DNF,0.5217488219129248,DNF,1.5,DNF,Correct,DNF
18,8.238504407003187,0,8.238504407003187,DNF,DNF,0,DNF,8.238504407003187,DNF,4.33393327673124,DNF,12.572437683734428,DNF,False,DNF,0.0,DNF,4.33393327673124,DNF,1.0,DNF,Correct,DNF
19,8.560642306255273,0,8.560642306255273,DNF,DNF,1,DNF,8.560642306255273,DNF,0.5331457249563613,DNF,9.093788031211634,DNF,False,DNF,0.0,DNF,0.5331457249563613,DNF,1.0,DNF,Correct,DNF
20,9.052857489350655,0,9.052857489350655,DNF,DNF,1,DNF,9.093788031211634,DNF,2.6937072107798268,DNF,11.787495241991461,DNF,False,DNF,0.040930541860978664,DNF,2.7346377526408054,DNF,1.0,DNF,Correct,DNF
21,9.791967801945537,0,9.791967801945537,DNF,DNF,1,DNF,11.787495241991461,DNF,1.4216605417308352,DNF,13.209155783722297,DNF,False,DNF,1.9955274400459242,DNF,3.4171879817767596,DNF,1.5,DNF,Correct,DNF
22,9.875910631860487,0,9.875910631860487,DNF,DNF,0,DNF,12.572437683734428,DNF,1.2708063049549418,DNF,13.84324398868937,DNF,False,DNF,2.6965270518739413,DNF,3.967333356828883,DNF,1.5,DNF,Correct,DNF
23,10.752276202693938,1,10.752276202693938,10.752276202693938,DNF,N/A,1,N\A,10.752276202693938,0,2.463807239274643,N/A,13.216083441968582,True,False,0,0.0,10,2.463807239274643,2.5,1.0,Correct,Incorrect
24,11.283554530791402,1,11.283554530791402,11.283554530791402,DNF,N/A,0,N\A,11.283554530791402,0,1.7953563836900175,N/A,13.078910914481419,True,False,0,0.0,10,1.7953563836900175,2.5,1.0,Correct,Incorrect
25,11.29548314544739,1,11.29548314544739,11.29548314544739,DNF,N/A,0,N\A,13.078910914481419,0,1.5077295091837066,N/A,14.586640423665125,True,False,0,1.783427769034029,10,3.2911572782177356,2.5,1.0,Correct,Incorrect
26,14.234660148474406,0,14.234660148474406,DNF,DNF,1,DNF,14.234660148474406,DNF,1.1200542405607887,DNF,15.354714389035195,DNF,False,DNF,0.0,DNF,1.1200542405607887,DNF,2.0,DNF,Correct,DNF
